cluster,name_field,RA,DEC,Rsun_kpc,RGC_kpc_struct,Mass_Msun,FeH,M_V,rc_pc,rh_l_pc,rh_m_pc,rt_pc,log_Trh,eta_h,ARot_kms,PRot_percent,RPeri_kpc,RApo_kpc,multiple_pop_flag
NGC0104,NGC 104           47 Tuc,6.02379,-72.08131,4.52,7.52,852999.9999999999,-0.72,-9.42,0.61,4.03,6.44,124.63,9.7,-0.04,5.0,100.0,5.47,7.51,1
NGC0362,NGC 362,15.80942,-70.84878,8.83,9.62,252000.0,-1.26,-8.41,0.43,2.21,3.36,86.94,9.01,-0.11,0.51,53.0,0.73,11.84,0
NGC1261,NGC 1261,48.06754,-55.21622,16.4,18.28,172000.0,-1.27,-7.8,1.05,3.25,4.86,138.12,9.21,-0.11,0.9,86.9,1.65,21.08,1
NGC1851,NGC 1851,78.52816,-40.04655,11.95,16.69,283000.0,-1.18,-8.33,0.14,1.75,3.16,123.69,9.0,-0.12,0.45,71.2,0.9,19.9,1
NGC2808,NGC 2808,138.01291,-64.86349,10.06,11.58,791000.0,-1.14,-9.39,0.74,2.45,3.75,160.53,9.31,-0.1,2.25,100.0,1.08,14.6,1
NGC5904,NGC 5904           M 5,229.63841,2.08103,7.48,6.27,392000.0,-1.29,-8.81,1.13,3.52,5.6,81.29,9.5,-0.09,4.11,100.0,3.25,23.44,1
NGC5927,NGC 5927,232.00287,-50.67303,8.27,4.77,293000.0,-0.49,-7.9,1.33,3.11,5.92,64.5,9.43,-0.09,0.93,82.2,4.03,5.48,0
NGC5986,NGC 5986,236.5125,-37.78642,10.54,4.85,299000.0,-1.59,-8.27,0.75,2.84,4.35,68.63,9.24,-0.11,1.65,97.7,0.54,5.03,1
NGC6205,NGC 6205           M 13,250.42181,36.45986,7.42,8.64,484000.0,-1.53,-8.55,1.75,3.47,5.21,130.27,9.47,-0.1,1.53,99.9,1.51,8.73,1
NGC6254,NGC 6254           M 10,254.28772,-4.10031,5.07,4.35,189000.0,-1.56,-7.48,0.74,2.99,4.75,53.76,9.22,-0.12,0.26,12.0,1.91,4.6,0
NGC6388,NGC 6388,264.07178,-44.7355,11.17,3.99,1310000.0,-0.55,-9.41,0.48,2.61,5.37,96.85,9.64,-0.0,1.51,99.5,1.15,4.05,0
NGC6441,NGC 6441,267.55441,-37.05145,12.73,4.78,1390000.0,-0.46,-9.63,0.64,2.14,4.3,108.31,9.5,-0.05,1.52,55.3,1.61,4.7,0
NGC6541,NGC 6541,272.00983,-43.71489,7.61,2.19,257000.0,-1.81,-8.52,0.11,2.29,3.81,37.42,9.12,-0.13,3.73,100.0,1.55,3.58,0
NGC6624,NGC 6624,275.91879,-30.36103,8.02,1.2,103000.0,-0.44,-7.49,0.19,1.7,2.25,16.82,8.4,-0.06,0.87,46.7,0.32,1.36,1
NGC6637,NGC 6637           M 69,277.84625,-32.34808,8.9,1.71,138000.0,-0.64,-7.64,0.57,2.41,3.19,24.2,8.78,-0.1,,,0.4,2.03,0
NGC6681,NGC 6681           M 70,280.80316,-32.29211,9.36,2.29,105000.0,-1.62,-7.12,0.07,2.16,3.04,27.47,8.71,-0.13,,,0.81,4.98,0
NGC6715,NGC 6715           M 54,283.76385,-30.47986,26.28,18.51,1590000.0,-1.49,-10.01,0.55,3.58,5.78,279.15,9.76,-0.04,0.57,18.5,14.77,46.92,0
NGC6723,NGC 6723,284.88812,-36.63225,8.27,2.47,197000.0,-1.09,-7.84,1.48,3.64,5.07,38.54,9.23,-0.12,0.84,93.0,2.07,2.82,0
NGC7078,NGC 7078           M 15,322.49304,12.167,10.71,10.76,518000.0,-2.37,-9.19,0.06,2.03,3.66,132.13,9.21,-0.07,3.29,100.0,3.9,10.77,1
NGC7099,NGC 7099           M 30,325.09213,-23.17986,8.46,7.36,121000.0,-2.32,-7.46,0.09,2.54,4.27,71.2,9.01,-0.08,1.1,100.0,1.51,8.56,1
