cluster,bin,N,R_arcsec,sigma,err_sigma,sigma_r,err_sigma_r,sigma_t,err_sigma_t,Rsun_kpc,rh_l_pc,rh_m_pc,Mass_Msun,RGC_kpc_struct,log_Trh,rc_pc,rt_pc,ARot_kms,PRot_percent,R_pc,R_over_rh_l
NGC0104,1,23,8.0216,0.66,0.071,0.625,0.099,0.715,0.114,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,0.1757817952633747,0.0436183114797455
NGC0104,2,269,16.6106,0.584,0.018,0.574,0.025,0.6,0.026,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,0.3639973432235231,0.0903219213954151
NGC0104,3,386,22.7047,0.595,0.015,0.591,0.021,0.6,0.022,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,0.4975407558238187,0.1234592446212949
NGC0104,4,386,26.6547,0.561,0.014,0.547,0.02,0.577,0.021,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,0.5840993091411533,0.1449377938315516
NGC0104,5,386,30.1497,0.591,0.015,0.588,0.022,0.597,0.021,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,0.6606871936586428,0.1639422316770825
NGC0104,6,386,33.8949,0.569,0.015,0.566,0.021,0.565,0.02,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,0.7427578503381571,0.1843071588928429
NGC0104,7,386,37.4059,0.547,0.014,0.517,0.019,0.572,0.021,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,0.8196963517804766,0.2033985984566939
NGC0104,8,386,40.9867,0.567,0.014,0.558,0.02,0.579,0.021,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,0.8981644195573654,0.2228695830167159
NGC0104,9,386,44.5412,0.561,0.014,0.553,0.02,0.57,0.021,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,0.9760561607640657,0.2421975585022495
NGC0104,10,386,48.1347,0.565,0.014,0.555,0.02,0.574,0.021,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.0548025307250382,0.2617376006761881
NGC0104,11,386,51.7444,0.54,0.013,0.547,0.02,0.536,0.019,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.1339039003224007,0.2813657320899257
NGC0104,12,386,55.6032,0.555,0.014,0.541,0.019,0.569,0.021,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.2184639371682058,0.3023483715057582
NGC0104,13,386,59.1933,0.53,0.013,0.539,0.02,0.522,0.019,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.297135801032652,0.3218699258145538
NGC0104,14,386,62.9727,0.55,0.014,0.55,0.02,0.552,0.02,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.37995590138899,0.3424208192032233
NGC0104,15,386,66.9185,0.555,0.014,0.594,0.022,0.513,0.019,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.4664224177635563,0.3638765304624209
NGC0104,16,386,70.6169,0.548,0.014,0.574,0.021,0.521,0.019,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.5474675199379435,0.3839869776520952
NGC0104,17,386,74.9096,0.543,0.014,0.552,0.02,0.533,0.02,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.641535849513975,0.407328994916619
NGC0104,18,386,79.1244,0.532,0.013,0.516,0.019,0.542,0.02,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.7338971129372407,0.4302474225650721
NGC0104,19,385,83.7639,0.538,0.014,0.556,0.02,0.523,0.019,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.835565064358956,0.4554752020741825
NGC0104,20,385,88.941,0.522,0.013,0.551,0.02,0.493,0.018,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.9490137444549485,0.4836262393188457
NGC0104,21,385,94.497,0.531,0.014,0.556,0.02,0.506,0.018,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,2.070765471602065,0.5138375860054752
NGC0104,22,385,100.0003,0.512,0.013,0.527,0.019,0.496,0.018,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,2.191362354253024,0.543762370782388
NGC0104,23,385,106.3089,0.499,0.013,0.528,0.019,0.469,0.017,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,2.3296062250018177,0.5780660607944956
NGC0104,24,385,113.4684,0.489,0.013,0.519,0.019,0.458,0.017,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,2.486496342084212,0.6169966109390104
NGC0104,25,385,121.5825,0.486,0.012,0.498,0.018,0.474,0.017,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,2.6643051414442582,0.6611179011027936
NGC0104,26,385,130.1041,0.482,0.012,0.488,0.018,0.479,0.018,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,2.851043715608561,0.7074550162800399
NGC0104,27,385,140.6284,0.475,0.012,0.488,0.018,0.463,0.017,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,3.081668571982644,0.7646820277872566
NGC0104,28,385,158.5868,0.46,0.012,0.465,0.018,0.458,0.017,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,3.475201008411509,0.8623327564296549
NGC0362,1,147,7.1193,0.197,0.008,0.204,0.012,0.189,0.011,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,0.3047701694422224,0.1379050540462544
NGC0362,2,178,12.309,0.195,0.007,0.2,0.011,0.192,0.01,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,0.5269360773761909,0.2384326141973714
NGC0362,3,178,16.1014,0.184,0.007,0.173,0.009,0.198,0.011,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,0.6892849586696724,0.3118936464568653
NGC0362,4,178,19.5568,0.185,0.007,0.189,0.01,0.182,0.01,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,0.837207204324534,0.3788267892871194
