cluster,included_in_article,n_bins_full,n_bins_primary_R_le_Rh,passes_min_5_primary_bins,Rmin_over_Rh_full,Rmax_over_Rh_full,all_required_values_finite,all_component_uncertainties_positive,Nstar_min,Nstar_median,selection_status
NGC0104,True,28,28,True,0.0436183114797455,0.8623327564296549,True,True,23,386.0,included
NGC0362,True,19,12,True,0.1379050540462544,1.7587722510898154,True,True,147,177.0,included
NGC1261,True,20,11,True,0.0761846541696734,2.4380190233251096,True,True,49,160.0,included
NGC1851,True,20,8,True,0.1441063126144938,2.97617325839506,True,True,28,247.5,included
NGC2808,True,24,12,True,0.0691769108195965,2.02156831142027,True,True,64,370.0,included
NGC5904,True,19,18,True,0.0387582115240103,1.0752284682326134,True,True,54,238.0,included
NGC5927,True,17,13,True,0.0880715525083511,1.3738659404133369,True,True,88,223.0,included
NGC5986,True,17,11,True,0.127811259479891,1.5818332426869166,True,True,124,212.0,included
NGC6205,True,21,20,True,0.0712662140858361,1.0383776836141023,True,True,134,256.0,included
NGC6254,True,16,16,True,0.0883894610036266,0.7903984216167678,True,True,116,116.0,included
NGC6388,True,31,13,True,0.1343404427199211,2.2587565116592474,True,True,48,398.0,included
NGC6441,True,27,5,True,0.2039766555635376,3.176424219275132,True,True,49,230.0,included
NGC6541,True,21,16,True,0.0604727966323899,1.587748035156792,True,True,93,182.0,included
NGC6624,True,18,13,True,0.0859429888164996,1.9094617289865552,True,True,88,134.0,included
NGC6637,True,22,17,True,0.0679613794968061,1.5713296143532074,True,True,62,166.0,included
NGC6681,True,14,10,True,0.0605004888533359,1.818195363569518,True,True,121,139.0,included
NGC6715,True,16,7,True,0.2762602536981566,2.666444394699177,True,True,90,156.0,included
NGC6723,True,11,11,True,0.111796320906931,0.932854249960642,True,True,91,110.0,included
NGC7078,True,21,11,True,0.0995780118812676,2.5546232374322626,True,True,61,285.0,included
NGC7099,True,13,10,True,0.0760315212580101,1.4112926246738249,True,True,100,101.0,included
