cluster,n,Rmin,Rmax,Rmin_Rh,Rmax_Rh,rh_pc,dist
NGC0104,28,8.0216,158.5868,0.0436183114797455,0.8623327564296549,4.03,4.52
NGC0362,19,7.1193,90.796,0.1379050540462544,1.7587722510898154,2.21,8.83
NGC1261,20,3.1141,99.6557,0.0761846541696734,2.4380190233251096,3.25,16.4
NGC1851,20,4.3529,89.8988,0.1441063126144938,2.97617325839506,1.75,11.95
NGC2808,24,3.475,101.5505,0.0691769108195965,2.02156831142027,2.45,10.06
NGC5904,19,3.7621,104.368,0.0387582115240103,1.0752284682326134,3.52,7.48
NGC5927,17,6.8315,106.5675,0.0880715525083511,1.3738659404133369,3.11,8.27
NGC5986,17,7.1035,87.9152,0.127811259479891,1.5818332426869166,2.84,10.54
NGC6205,21,6.8744,100.1628,0.0712662140858361,1.0383776836141023,3.47,7.42
NGC6254,16,10.752,96.1468,0.0883894610036266,0.7903984216167678,2.99,5.07
NGC6388,31,6.4747,108.8635,0.1343404427199211,2.2587565116592474,2.61,11.17
NGC6441,27,7.0728,110.1411,0.2039766555635376,3.1764242192751317,2.14,12.73
NGC6541,21,3.7535,98.5503,0.0604727966323899,1.587748035156792,2.29,7.61
NGC6624,18,3.7576,83.4855,0.0859429888164996,1.9094617289865552,1.7,8.02
NGC6637,22,3.7959,87.7647,0.0679613794968061,1.5713296143532074,2.41,8.9
NGC6681,14,2.8798,86.5454,0.0605004888533359,1.818195363569518,2.16,9.36
NGC6715,16,7.7625,74.9231,0.2762602536981566,2.666444394699177,3.58,26.28
NGC6723,11,10.1496,84.6906,0.111796320906931,0.932854249960642,3.64,8.27
NGC7078,21,3.8931,99.8755,0.0995780118812676,2.5546232374322626,2.03,10.71
NGC7099,13,4.7085,87.3989,0.0760315212580101,1.4112926246738249,2.54,8.46
