dependent,property,N,spearman_rho,p_value
GKI,log_Trh,20,0.1512985533478657,0.5242927900699174
GKI,dyn_age_12Gyr_over_Trh,20,-0.1512985533478657,0.5242927900699174
GKI,RGC_kpc_struct,20,-0.12481203007518797,0.6000744184144979
GKI,RPeri_kpc,20,0.2640090446199418,0.2606898713693607
GKI,RApo_kpc,20,0.015037593984962403,0.9498276950483329
GKI,log_mass,20,-0.16691729323308271,0.4818249184315468
GKI,rh_l_pc,20,0.5218045112781955,0.01828494348209757
GKI,rc_over_rh,20,0.5067669172932331,0.022588172380591843
GKI,Rmax_Rh,20,-0.8390977443609022,3.7690619292004634e-06
GKI,FeH,20,-0.1413533834586466,0.552214438632242
GKI,M_V,20,0.22857142857142856,0.3323968570405121
GKI,ARot_kms,18,0.1413828689370485,0.5757540929543487
GKI,eta_h,20,-0.2691914743421242,0.25109754046621435
