dependent,property,N,spearman_rho,p_value
KAP,log_Trh,20,-0.394430059474038,0.08526170145847016
KAP,dyn_age_12Gyr_over_Trh,20,0.394430059474038,0.08526170145847016
KAP,RGC_kpc_struct,20,-0.31729323308270674,0.17283688640714231
KAP,RPeri_kpc,20,-0.29484770795161597,0.20695657346452784
KAP,RApo_kpc,20,-0.20751879699248119,0.37999323699324694
KAP,log_mass,20,-0.5654135338345864,0.00937431775063153
KAP,rh_l_pc,20,0.024060150375939848,0.9197997451459456
KAP,rc_over_rh,20,0.17293233082706763,0.46594008519241703
KAP,Rmax_Rh,20,-0.4285714285714286,0.05937977468606561
KAP,FeH,20,0.11127819548872178,0.6404548402871416
KAP,M_V,20,0.48872180451127817,0.0287720300549961
KAP,ARot_kms,18,-0.2961816305469556,0.23271685741068446
KAP,eta_h,20,-0.3606863293853743,0.1182165922851636
