dependent,property,N,spearman_rho,p_value
KAP,log_Trh,20,-0.3357171880256125,0.1478708421831043
KAP,dyn_age_12Gyr_over_Trh,20,0.3357171880256125,0.1478708421831043
KAP,RGC_kpc_struct,20,-0.05714285714285714,0.8108800461568324
KAP,RPeri_kpc,20,-0.28055662006620596,0.2308592318708906
KAP,RApo_kpc,20,0.018045112781954885,0.9398091995407436
KAP,log_mass,20,-0.35939849624060144,0.11963250632903898
KAP,rh_l_pc,20,-0.14586466165413534,0.5394664944297438
KAP,rc_over_rh,20,0.24511278195488717,0.2976005003886619
KAP,Rmax_Rh,20,-0.16992481203007515,0.47384906489411227
KAP,FeH,20,0.021052631578947364,0.9297994024457079
KAP,M_V,20,0.33233082706766914,0.15225878917036062
KAP,ARot_kms,18,-0.283797729618163,0.25375641790875597
KAP,eta_h,20,-0.5414075719914633,0.013686214228967326
