n_bins,Rmin_arcsec,Rmax_arcsec,Rmin_Rh,Rmax_Rh,KAP,KAP_err_analytic,KAP_resample_std,KAP_resample_p16,KAP_resample_p84,KAP_resample_p2p5,KAP_resample_p97p5,KAP_SNR,KAP_class,GKI,GKI_err,GKI_resample_std,GKI_resample_p16,GKI_resample_p84,GKI_SNR,GKI_sign_class,R2_GKI,chi2nu_GKI,delta_BIC_slope_minus_const,beta_min,beta_max,beta_var,mean_beta_err2,Ds_raw,Ds_corr,Ds_raw_resample_std,Ds_corr_resample_std,minus_beta_norm_wmean,minus_beta_norm_dispersionweighted,KAP_minus_minus_beta_norm_wmean,cluster,range,Rmin_Rh_cov,Rmax_Rh_cov,rh_pc,dist,name_field,RA,DEC,Rsun_kpc,RGC_kpc_struct,NRV,NPM,Mass_Msun,Vmag,MLV,rc_pc,rh_l_pc,rh_m_pc,rt_pc,log_rhoc,log_rhhm,log_Trh,log_Mini,TDiss_Gyr,MF_slope,sigma0_kms,vesc_kms,eta_c,eta_h,ARot_kms,PRot_percent,RPeri_kpc,RApo_kpc,RGC_kpc_orb,FeH,M_V,multiple_pop_flag,dyn_age_12Gyr_over_Trh,log_mass,rc_over_rh
28,8.0216,158.5868,0.0436183114797455,0.8623327564296549,-0.0263310856799495,0.0100771893050961,0.0097608021115743,-0.0356613807502417,-0.0160166418864311,-0.0452990829718634,-0.0070680698455777,2.612939469801733,RADIAL,-0.1072390769030058,0.0086589217652004,0.0081412523503006,-0.1153963766699577,-0.0994040336973221,12.384807232465352,NEGATIVE,0.8205963526139419,1.2897538724898436,-150.051245675159,-0.3087359999999999,0.2541322314049586,0.0187033441846052,0.0222344966194735,0.5148027876009011,0.0,2.5158773083253605,1.339734036760575,-0.029984119753433,-0.0263310856799495,0.0036530340734834,NGC0104,full,0.0436183114797455,0.8623327564296549,4.03,4.52,NGC 104           47 Tuc,6.02379,-72.08131,4.52,7.52,7177.0,27460.0,852999.9999999999,4.08,1.87,0.61,4.03,6.44,124.63,4.72,2.61,9.7,6.24,106.3,-0.65,11.9,47.4,-0.4,-0.04,5.0,100.0,5.47,7.51,7.52,-0.72,-9.42,1,2.3943147779626592,5.930949031167523,0.15136476426799
19,7.1193,90.796,0.1379050540462544,1.7587722510898154,0.0121558406503014,0.0179293862470058,0.0173085545758064,-0.0050346926613309,0.0284773489390858,-0.0216581908142998,0.0460157682022178,0.6779842032981714,ISOTROPIC,-0.1070071059061081,0.0135210052184374,0.0125516267504311,-0.1197419747645822,-0.0945101516702812,7.914138348248842,NEGATIVE,0.7604287759585511,1.160738697264511,-59.6891468160528,-0.3099000968959873,0.1416522491349479,0.0204410065326373,0.0253331661495789,0.9226012614583052,0.0,1.1664239864477737,0.8077605595179297,0.0154665892801497,0.0121558406503014,-0.0033107486298482,NGC0362,full,0.1379050540462544,1.7587722510898154,2.21,8.83,NGC 362,15.80942,-70.84878,8.83,9.62,2342.0,4286.0,252000.0,6.48,1.28,0.43,2.21,3.36,86.94,4.57,2.91,9.01,6.05,7.5,-0.76,8.6,34.0,-0.38,-0.11,0.51,53.0,0.73,11.84,9.62,-1.26,-8.41,0,11.726846651469732,5.401400540781544,0.1945701357466063
20,3.1141,99.6557,0.0761846541696734,2.4380190233251096,0.0066881728001082,0.0200382303521404,0.0199578180710207,-0.0143274451594498,0.0254533719241984,-0.0334630576097246,0.0446685814727945,0.3337706315664665,ISOTROPIC,-0.1534218610796225,0.0128944490761578,0.0118897589613503,-0.1655609163054872,-0.142723994145638,11.898287408285144,NEGATIVE,0.8461060076322131,1.430517889124995,-138.5735109765975,-0.514792899408284,0.1766117969821671,0.0320814517148614,0.036064827274212,1.9224064910601413,0.0,1.9449857185666048,1.367346617132974,-0.0021259940222417,0.0066881728001082,0.00881416682235,NGC1261,full,0.0761846541696734,2.4380190233251096,3.25,16.4,NGC 1261,48.06754,-55.21622,16.4,18.28,345.0,3179.0,172000.0,8.31,1.54,1.05,3.25,4.86,138.12,3.4,2.25,9.21,5.75,13.9,-0.61,5.7,21.4,-0.34,-0.11,0.9,86.9,1.65,21.08,18.28,-1.27,-7.8,1,7.399140022337771,5.235528446907549,0.3230769230769231
20,4.3529,89.8988,0.1441063126144938,2.97617325839506,-0.0250735597254816,0.0162769966411801,0.015939537455224,-0.0410558972206922,-0.0090113896150447,-0.056060564204508,0.0064370564706211,1.5404291269586303,ISOTROPIC,-0.2166712119891492,0.0129835636403475,0.0125483133928554,-0.228765254871608,-0.2043283379410879,16.68811568157022,NEGATIVE,0.9566692623383454,0.7007713858866349,-275.4974727279081,-0.5362031342987503,0.2581384197346691,0.0335030687023647,0.0293735878643848,0.955222936154497,0.1177377166817701,3.009913805160008,1.6285579797070693,-0.0281658224978791,-0.0250735597254816,0.0030922627723974,NGC1851,full,0.1441063126144938,2.97617325839506,1.75,11.95,NGC 1851,78.52816,-40.04655,11.95,16.69,8217.0,4973.0,283000.0,7.07,1.48,0.14,1.75,3.16,123.69,6.32,3.03,9.0,6.02,10.9,-0.7,10.3,41.1,-0.41,-0.12,0.45,71.2,0.9,19.9,16.69,-1.18,-8.33,1,12.0,5.451786435524291,0.08
24,3.475,101.5505,0.0691769108195965,2.02156831142027,-0.0725693345279348,0.0117534051380984,0.0116597302356157,-0.0838407564441512,-0.0603530679552457,-0.0958079395762392,-0.0495275469039886,6.17432426392778,RADIAL,-0.1650764605466171,0.0100775068099321,0.0089862692427128,-0.1746236019291203,-0.1566614537830678,16.380684593923753,NEGATIVE,0.8061989922225773,2.931940790637202,-265.1487739352691,-0.0499923792104861,0.3549105568153188,0.0116704048511482,0.0121131198203124,0.1413406674265962,0.0,0.1299455224376337,0.1038959169538762,-0.0772177375586014,-0.0725693345279348,0.0046484030306666,NGC2808,full,0.0691769108195965,2.02156831142027,2.45,10.06,NGC 2808,138.01291,-64.86349,10.06,11.58,5589.0,9104.0,791000.0,6.13,1.38,0.74,2.45,3.75,160.53,4.52,3.25,9.31,6.29,30.2,-0.6,13.8,53.1,-0.36,-0.1,2.25,100.0,1.08,14.6,11.58,-1.14,-9.39,1,5.877345832421348,5.898176483497677,0.3020408163265305
19,3.7621,104.368,0.0387582115240103,1.0752284682326134,-0.0041685209600013,0.0159627198238715,0.0152878630861402,-0.0193813026947668,0.0106408391284627,-0.0357494487582188,0.0251376543248703,0.2611410214547206,ISOTROPIC,-0.0405748129684444,0.0113811392154287,0.0103874577770723,-0.0508354294061543,-0.0305041056804609,3.5650924042330856,NEGATIVE,0.4122835634941407,1.0657724164179485,-9.765444871551647,-0.3195529257067719,0.2323668041410654,0.0147929378306897,0.0205028594560039,1.0440707165166505,0.0,1.0517670656353388,0.7487879706804369,-0.0052639839114602,-0.0041685209600013,0.0010954629514589,NGC5904,full,0.0387582115240103,1.0752284682326134,3.52,7.48,NGC 5904           M 5,229.63841,2.08103,7.48,6.27,463.0,5285.0,392000.0,5.95,1.81,1.13,3.52,5.6,81.29,3.67,2.43,9.5,5.94,52.5,-0.76,7.9,30.4,-0.37,-0.09,4.11,100.0,3.25,23.44,6.27,-1.29,-8.81,1,3.794733192202055,5.593286067020458,0.3210227272727272
17,6.8315,106.5675,0.0880715525083511,1.3738659404133369,-0.0152906957506491,0.0173506655568743,0.0170570713644363,-0.0316633073653338,0.0024001141321763,-0.0467921044540972,0.0191583338396646,0.8812743061946087,ISOTROPIC,-0.0463686227950682,0.0136957240830105,0.0131195364309954,-0.0589761738385625,-0.0325025702309966,3.385627697668673,NEGATIVE,0.4541404639974338,0.9184972096110694,-8.629261563164924,-0.2933487120338331,0.2220979128891633,0.0217059351330303,0.0225263423000584,0.8582577303146419,0.0,1.496720068714246,1.0733171633942644,-0.0164201225864146,-0.0152906957506491,0.0011294268357654,NGC5927,full,0.0880715525083511,1.3738659404133369,3.11,8.27,NGC 5927,232.00287,-50.67303,8.27,4.77,582.0,4302.0,293000.0,7.74,1.74,1.33,3.11,5.92,64.5,3.39,2.23,9.43,5.86,33.5,-0.99,6.6,25.2,-0.31,-0.09,0.93,82.2,4.03,5.48,4.77,-0.49,-7.9,0,4.458422749166074,5.466867620354109,0.4276527331189711
17,7.1035,87.9152,0.127811259479891,1.5818332426869166,-0.0375209139894452,0.0188006099459675,0.0181767324584179,-0.0547767442234103,-0.0182464096833754,-0.0720666946276425,-0.0007912562979229,1.995728548024737,ISOTROPIC,-0.1151526116083408,0.0161881436559533,0.0149774295924848,-0.1305030736896629,-0.1005438493824961,7.113392001929291,NEGATIVE,0.7540965986243935,1.1000179693237186,-47.76713242905941,-0.5001502313562887,0.2985937499999999,0.0504902464319575,0.0220159614970501,1.0624847502548411,0.5991948080214052,1.4323939916556176,1.1055878485855717,-0.0391533160567278,-0.0375209139894452,0.0016324020672825,NGC5986,full,0.127811259479891,1.5818332426869166,2.84,10.54,NGC 5986,236.5125,-37.78642,10.54,4.85,244.0,3733.0,299000.0,7.7,1.71,0.75,2.84,4.35,68.63,4.02,2.64,9.24,6.25,5.7,-0.59,8.0,30.6,-0.33,-0.11,1.65,97.7,0.54,5.03,4.85,-1.59,-8.27,1,6.90527924804588,5.47567118832443,0.2640845070422535
21,6.8744,100.1628,0.0712662140858361,1.0383776836141023,-0.0128822823591842,0.0142629946613353,0.0143933183187828,-0.0274995788388611,0.0010924091119284,-0.0420362671614042,0.0142033715329587,0.9031961846067303,ISOTROPIC,-0.0856544136304919,0.0118120315172288,0.0112331510636273,-0.0968702571383244,-0.0743559444860868,7.251454883569997,NEGATIVE,0.7249589852455602,1.0499792640195738,-49.53907549071696,-0.3741672580755935,0.3286110733761571,0.0347309981956673,0.0169861048723634,1.517811800872538,0.7754861619466733,1.4571451028832207,1.1138857499963002,-0.0152313457550092,-0.0128822823591842,0.002349063395825,NGC6205,full,0.0712662140858361,1.0383776836141023,3.47,7.42,NGC 6205           M 13,250.42181,36.45986,7.42,8.64,426.0,6668.0,484000.0,5.81,2.05,1.75,3.47,5.21,130.27,3.35,2.61,9.47,6.11,26.4,-0.94,8.9,32.4,-0.26,-0.1,1.53,99.9,1.51,8.73,8.64,-1.53,-8.55,1,4.066129873670425,5.684845361644412,0.5043227665706052
16,10.752,96.1468,0.0883894610036266,0.7903984216167678,0.0476502655212774,0.0242485672660786,0.0231943461426204,0.0233227677767652,0.070170370595634,0.0027332227664098,0.0930878567871196,1.965075503159128,ISOTROPIC,-0.0650543884241253,0.0207642541202139,0.0199956384008673,-0.0839786626064023,-0.0436858176188754,3.1329990495923936,NEGATIVE,0.4552479189903808,0.838964181007596,-7.0430943225067,-0.5362031342987503,0.2829734651404787,0.0430685069018013,0.0482884662984797,0.747065195838616,0.0,1.240338356968799,0.8453170827009263,0.0473673438503823,0.0476502655212774,0.0002829216708951,NGC6254,full,0.0883894610036266,0.7903984216167678,2.99,5.07,NGC 6254           M 10,254.28772,-4.10031,5.07,4.35,5446.0,2796.0,189000.0,6.61,1.71,0.74,2.99,4.75,53.76,3.79,2.32,9.22,5.83,12.8,-0.6,6.2,23.9,-0.38,-0.12,0.26,12.0,1.91,4.6,4.35,-1.56,-7.48,0,7.230715032892283,5.276461804173244,0.2474916387959866
