n_bins,Rmin_arcsec,Rmax_arcsec,Rmin_Rh,Rmax_Rh,KAP,KAP_err_analytic,KAP_resample_std,KAP_resample_p16,KAP_resample_p84,KAP_resample_p2p5,KAP_resample_p97p5,KAP_SNR,KAP_class,GKI,GKI_err,GKI_resample_std,GKI_resample_p16,GKI_resample_p84,GKI_SNR,GKI_sign_class,R2_GKI,chi2nu_GKI,delta_BIC_slope_minus_const,beta_min,beta_max,beta_var,mean_beta_err2,Ds_raw,Ds_corr,Ds_raw_resample_std,Ds_corr_resample_std,minus_beta_norm_wmean,minus_beta_norm_dispersionweighted,KAP_minus_minus_beta_norm_wmean,cluster,range,name_field,RA,DEC,Rsun_kpc,RGC_kpc_struct,NRV,NPM,Mass_Msun,Vmag,MLV,rc_pc,rh_l_pc,rh_m_pc,rt_pc,log_rhoc,log_rhhm,log_Trh,log_Mini,TDiss_Gyr,MF_slope,sigma0_kms,vesc_kms,eta_c,eta_h,ARot_kms,PRot_percent,RPeri_kpc,RApo_kpc,RGC_kpc_orb,FeH,M_V,multiple_pop_flag,dyn_age_12Gyr_over_Trh,log_mass,rc_over_rh
28,8.0216,158.5868,0.0436183114797455,0.8623327564296549,-0.0263310856799495,0.0100771893050961,0.0097608021115743,-0.0356613807502417,-0.0160166418864311,-0.0452990829718634,-0.0070680698455777,2.612939469801733,RADIAL,-0.1072390769030058,0.0086589217652004,0.0081412523503006,-0.1153963766699577,-0.0994040336973221,12.384807232465352,NEGATIVE,0.8205963526139419,1.2897538724898436,-150.051245675159,-0.3087359999999999,0.2541322314049586,0.0187033441846052,0.0222344966194735,0.5148027876009011,0.0,2.5158773083253605,1.339734036760575,-0.029984119753433,-0.0263310856799495,0.0036530340734834,NGC0104,R_le_Rh,NGC 104           47 Tuc,6.02379,-72.08131,4.52,7.52,7177.0,27460.0,852999.9999999999,4.08,1.87,0.61,4.03,6.44,124.63,4.72,2.61,9.7,6.24,106.3,-0.65,11.9,47.4,-0.4,-0.04,5.0,100.0,5.47,7.51,7.52,-0.72,-9.42,1,2.3943147779626592,5.930949031167523,0.15136476426799
12,7.1193,47.1062,0.1379050540462544,0.9124749704203604,-0.0018792009536539,0.0223369853771433,0.021400558099845,-0.023380783849927,0.0200839455692159,-0.0451484055181135,0.0375983419233069,0.084129569049944,ISOTROPIC,-0.0575731897512383,0.021103187234819,0.021191391389251,-0.0779817438850273,-0.0353797185463456,2.7281750908339557,NEGATIVE,0.5907295044102201,0.5156633355800248,-4.958032676457332,-0.3099000968959873,0.1416522491349479,0.0235636188757537,0.0240961209171873,1.9836030190655007,0.0,1.4688512240658866,1.098147051253443,-0.0003276230561023,-0.0018792009536539,-0.0015515778975516,NGC0362,R_le_Rh,NGC 362,15.80942,-70.84878,8.83,9.62,2342.0,4286.0,252000.0,6.48,1.28,0.43,2.21,3.36,86.94,4.57,2.91,9.01,6.05,7.5,-0.76,8.6,34.0,-0.38,-0.11,0.51,53.0,0.73,11.84,9.62,-1.26,-8.41,0,11.726846651469732,5.401400540781544,0.1945701357466063
11,3.1141,38.1547,0.0761846541696734,0.9334326529166176,0.0397055064460933,0.0274767746030851,0.0273700236746829,0.0130746848913249,0.0671974492908731,-0.015612665020543,0.0920421951780897,1.4450570352473298,ISOTROPIC,-0.0888548667256888,0.0242606506597954,0.024493164144157,-0.1140995295614972,-0.0653164907561474,3.6625096322308575,NEGATIVE,0.6840755187184131,0.6883261583548689,-11.01608153338442,-0.514792899408284,0.1011975037949065,0.0330724835403745,0.0424810229253187,0.6653686061169576,0.0,1.617342690520139,1.144973842140861,0.0398636767725498,0.0397055064460933,-0.0001581703264565,NGC1261,R_le_Rh,NGC 1261,48.06754,-55.21622,16.4,18.28,345.0,3179.0,172000.0,8.31,1.54,1.05,3.25,4.86,138.12,3.4,2.25,9.21,5.75,13.9,-0.61,5.7,21.4,-0.34,-0.11,0.9,86.9,1.65,21.08,18.28,-1.27,-7.8,1,7.399140022337771,5.235528446907549,0.3230769230769231
8,4.3529,28.2263,0.1441063126144938,0.9344547340280012,0.0312057399246723,0.0273421757829992,0.027285029110911,0.0043888430976288,0.0582989143049044,-0.0235179602175926,0.0854082909461161,1.141304195113666,ISOTROPIC,-0.1706754656039766,0.0325840993522722,0.0325744824034092,-0.2045724961390131,-0.1399267092839329,5.237998563617639,NEGATIVE,0.9383094180629796,0.300643827058227,-25.357187410780725,-0.5362031342987503,0.0634755463059314,0.0355596639692964,0.0502739878064065,0.8629784111219128,0.0,3.9953059395556494,2.0094602828593158,0.0275975288868456,0.0312057399246723,0.0036082110378266,NGC1851,R_le_Rh,NGC 1851,78.52816,-40.04655,11.95,16.69,8217.0,4973.0,283000.0,7.07,1.48,0.14,1.75,3.16,123.69,6.32,3.03,9.0,6.02,10.9,-0.7,10.3,41.1,-0.41,-0.12,0.45,71.2,0.9,19.9,16.69,-1.18,-8.33,1,12.0,5.451786435524291,0.08
12,3.475,49.4917,0.0691769108195965,0.9852324941612164,-0.0492754022428846,0.0174421567045677,0.0175047000128674,-0.0649333266087334,-0.0298150635975738,-0.0822330877622994,-0.0129658658646439,2.82507507973372,RADIAL,-0.0918859326491517,0.0161464748711741,0.0155895915209132,-0.1080969202190434,-0.0773202235201666,5.690773582609871,NEGATIVE,0.840011479705527,0.6168026260332058,-29.89999731874425,-0.0499923792104861,0.3549105568153188,0.0151318689719959,0.0157740556999639,0.2552807471468892,0.0,0.5246474006667761,0.365761901617159,-0.0483942571015346,-0.0492754022428846,-0.00088114514135,NGC2808,R_le_Rh,NGC 2808,138.01291,-64.86349,10.06,11.58,5589.0,9104.0,791000.0,6.13,1.38,0.74,2.45,3.75,160.53,4.52,3.25,9.31,6.29,30.2,-0.6,13.8,53.1,-0.36,-0.1,2.25,100.0,1.08,14.6,11.58,-1.14,-9.39,1,5.877345832421348,5.898176483497677,0.3020408163265305
18,3.7621,91.1232,0.0387582115240103,0.9387768162315469,-0.0059170679321067,0.016400135136116,0.0157355084554403,-0.0219179921409334,0.0089165950974784,-0.0372618199099904,0.0242966703791106,0.360793852184566,ISOTROPIC,-0.0333421874730016,0.0121370537952041,0.0112249982965148,-0.0445599180583031,-0.0224932333614662,2.7471401244160742,NEGATIVE,0.3321292155868256,0.948477445411684,-4.656407105279751,-0.3195529257067719,0.2323668041410654,0.0154945112224054,0.0205074519777014,0.9734526037393484,0.0,1.0683743452422585,0.7600361395478915,-0.0074253253260987,-0.0059170679321067,0.0015082573939919,NGC5904,R_le_Rh,NGC 5904           M 5,229.63841,2.08103,7.48,6.27,463.0,5285.0,392000.0,5.95,1.81,1.13,3.52,5.6,81.29,3.67,2.43,9.5,5.94,52.5,-0.76,7.9,30.4,-0.37,-0.09,4.11,100.0,3.25,23.44,6.27,-1.29,-8.81,1,3.794733192202055,5.593286067020458,0.3210227272727272
13,6.8315,72.1609,0.0880715525083511,0.9302967859767072,-0.0097706726250336,0.0198642731422597,0.0193316076702812,-0.0287554337891685,0.0086613028754163,-0.0480635940771945,0.028074117479416,0.4918716408629767,ISOTROPIC,-0.0263198538889135,0.0173819794695769,0.0181551969488329,-0.044662687553695,-0.0089694000342111,1.514203484993189,CONSISTENT_WITH_ZERO,0.2405279804210681,0.6581455832053655,0.2721371634965912,-0.2933487120338331,0.2220979128891633,0.0274964279544018,0.0239883517536543,1.3907684617460037,0.1774383839781755,1.9681733524655975,1.493361049263621,-0.0104756436461943,-0.0097706726250336,0.0007049710211607,NGC5927,R_le_Rh,NGC 5927,232.00287,-50.67303,8.27,4.77,582.0,4302.0,293000.0,7.74,1.74,1.33,3.11,5.92,64.5,3.39,2.23,9.43,5.86,33.5,-0.99,6.6,25.2,-0.31,-0.09,0.93,82.2,4.03,5.48,4.77,-0.49,-7.9,0,4.458422749166074,5.466867620354109,0.4276527331189711
11,7.1035,52.3382,0.127811259479891,0.941706378673954,-0.019380854726812,0.0232616717679964,0.022336392933489,-0.040989016121136,0.0038480538954063,-0.0614421749930204,0.0240510240654007,0.833166890157754,ISOTROPIC,-0.072183491630176,0.0226837308480084,0.0221720641434386,-0.0943478559996814,-0.0498650197627438,3.182170169177156,NEGATIVE,0.6703168866377489,0.5533766544869809,-7.7283117128027,-0.5001502313562887,0.2985937499999999,0.0663421636391936,0.0236228175451126,2.258006591573116,1.453985818019674,2.764596333459416,2.288788370857907,-0.019744441648842,-0.019380854726812,0.0003635869220299,NGC5986,R_le_Rh,NGC 5986,236.5125,-37.78642,10.54,4.85,244.0,3733.0,299000.0,7.7,1.71,0.75,2.84,4.35,68.63,4.02,2.64,9.24,6.25,5.7,-0.59,8.0,30.6,-0.33,-0.11,1.65,97.7,0.54,5.03,4.85,-1.59,-8.27,1,6.90527924804588,5.47567118832443,0.2640845070422535
20,6.8744,90.393,0.0712662140858361,0.9370951486472976,-0.0028969177143122,0.0145549712694975,0.0142676601653052,-0.0174312270507453,0.0111968550246433,-0.0305587696542452,0.0244348382886124,0.1990328706717015,ISOTROPIC,-0.0807602312066311,0.0122881783162401,0.0118275761444867,-0.0926626425970998,-0.06894175105261,6.572189068895432,NEGATIVE,0.7074445335266445,0.9923466654470068,-40.19793688374647,-0.3741672580755935,0.2588473062355136,0.0310347547866769,0.0174126391053177,2.406369915211323,1.0562303321701574,1.340248712091613,1.0551379124461857,-0.002906213125226,-0.0028969177143122,9.295410913762094e-06,NGC6205,R_le_Rh,NGC 6205           M 13,250.42181,36.45986,7.42,8.64,426.0,6668.0,484000.0,5.81,2.05,1.75,3.47,5.21,130.27,3.35,2.61,9.47,6.11,26.4,-0.94,8.9,32.4,-0.26,-0.1,1.53,99.9,1.51,8.73,8.64,-1.53,-8.55,1,4.066129873670425,5.684845361644412,0.5043227665706052
16,10.752,96.1468,0.0883894610036266,0.7903984216167678,0.0476502655212774,0.0242485672660786,0.0231943461426204,0.0233227677767652,0.070170370595634,0.0027332227664098,0.0930878567871196,1.965075503159128,ISOTROPIC,-0.0650543884241253,0.0207642541202139,0.0199956384008673,-0.0839786626064023,-0.0436858176188754,3.1329990495923936,NEGATIVE,0.4552479189903808,0.838964181007596,-7.0430943225067,-0.5362031342987503,0.2829734651404787,0.0430685069018013,0.0482884662984797,0.747065195838616,0.0,1.240338356968799,0.8453170827009263,0.0473673438503823,0.0476502655212774,0.0002829216708951,NGC6254,R_le_Rh,NGC 6254           M 10,254.28772,-4.10031,5.07,4.35,5446.0,2796.0,189000.0,6.61,1.71,0.74,2.99,4.75,53.76,3.79,2.32,9.22,5.83,12.8,-0.6,6.2,23.9,-0.38,-0.12,0.26,12.0,1.91,4.6,4.35,-1.56,-7.48,0,7.230715032892283,5.276461804173244,0.2474916387959866
