cluster,range,n_bins,Rmin_arcsec,Rmax_arcsec,Rmin_Rh,Rmax_Rh,KAP,KAP_err_analytic,KAP_resample_std,KAP_SNR,KAP_class,GKI,GKI_err,GKI_resample_std,GKI_SNR,GKI_sign_class,R2_GKI,chi2nu_GKI,delta_BIC_slope_minus_const,beta_min,beta_max,beta_var,mean_beta_err2,Ds_raw,Ds_corr,minus_beta_norm_wmean,minus_beta_norm_dispersionweighted,KAP_minus_minus_beta_norm_wmean
NGC0104,R_0p1_to_Rh,26,22.7047,158.5868,0.1234592446212949,0.8623327564296549,-0.0281081382384925,0.0102179177659423,0.0100139816603931,2.7508675331270287,RADIAL,-0.1146996047964727,0.0095152781042001,0.0089986964648239,12.054256695434209,NEGATIVE,0.8309855711442993,1.231402209627117,-142.0470079414052,-0.2240832956088725,0.2541322314049586,0.014917161215918,0.0099413454415619,0.3914429280843312,0.1305709489982391,-0.0314474439943785,-0.0281081382384926,0.0033393057558859
NGC0362,R_0p1_to_Rh,12,7.1193,47.1062,0.1379050540462544,0.9124749704203604,-0.0018792009536539,0.0223369853771433,0.021400558099845,0.084129569049944,ISOTROPIC,-0.0575731897512383,0.021103187234819,0.021191391389251,2.7281750908339557,NEGATIVE,0.5907295044102201,0.5156633355800248,-4.958032676457332,-0.3099000968959873,0.1416522491349479,0.0235636188757537,0.0240961209171873,1.9836030190655007,0.0,-0.0003276230561023,-0.0018792009536539,-0.0015515778975516
NGC1261,R_0p1_to_Rh,10,7.8312,38.1547,0.1915857755799578,0.9334326529166176,0.0421470869322444,0.0279152485961179,0.0270958426166908,1.5098230913876105,ISOTROPIC,-0.0999538523846696,0.0292005369189659,0.0300686991039106,3.423014195322864,NEGATIVE,0.6716358181189988,0.7160598817718231,-9.41444108838894,-0.514792899408284,0.0901775147928996,0.0322823379149167,0.0393602266449422,0.6190631119406869,0.0,0.0417296599052469,0.0421470869322444,0.0004174270269975
NGC1851,R_0p1_to_Rh,8,4.3529,28.2263,0.1441063126144938,0.9344547340280012,0.0312057399246723,0.0273421757829992,0.027285029110911,1.141304195113666,ISOTROPIC,-0.1706754656039766,0.0325840993522722,0.0325744824034092,5.237998563617639,NEGATIVE,0.9383094180629796,0.300643827058227,-25.357187410780725,-0.5362031342987503,0.0634755463059314,0.0355596639692964,0.0502739878064065,0.8629784111219128,0.0,0.0275975288868456,0.0312057399246723,0.0036082110378266
NGC2808,R_0p1_to_Rh,11,7.8932,49.4917,0.1571301273327308,0.9852324941612164,-0.0497172439237513,0.0175925349421521,0.0176134960782958,2.826042073369868,RADIAL,-0.0971467974251684,0.0192938025770825,0.0187733230711239,5.035129650417413,NEGATIVE,0.8106991128250853,0.6577665098796781,-22.95463532371721,-0.0499923792104861,0.3549105568153188,0.0161431133492627,0.0116962219387139,0.2703258269901852,0.0744657843926402,-0.0486903452895324,-0.0497172439237513,-0.0010268986342189
NGC5904,R_0p1_to_Rh,16,12.851,91.1232,0.1323946137250624,0.9387768162315469,-0.0056196967616474,0.0168598144988409,0.0166683246078207,0.3333190149887917,ISOTROPIC,-0.0455886837091858,0.0152269895216965,0.0144361100553153,2.9939393892816257,NEGATIVE,0.4021535559425472,0.9518219363557932,-6.191084344450662,-0.3195529257067719,0.1443750000000002,0.0138718169021377,0.0182627630864641,0.8880977085418588,0.0,-0.0071600028542977,-0.0056196967616474,0.0015403060926503
NGC5927,R_0p1_to_Rh,12,14.5631,72.1609,0.1877471750471153,0.9302967859767072,-0.0134309300833524,0.0201628567369035,0.0199571612943234,0.6661223783220259,ISOTROPIC,-0.0185631728640704,0.0206251792055881,0.0206662269035883,0.9000248036167845,CONSISTENT_WITH_ZERO,0.1071269178155095,0.6751496967652284,1.6748620026632235,-0.222426105931363,0.2220979128891633,0.0217800911369122,0.018947745657698,0.929544455104107,0.1208806252734558,-0.0135784708577439,-0.0134309300833524,0.0001475407743915
NGC5986,R_0p1_to_Rh,11,7.1035,52.3382,0.127811259479891,0.941706378673954,-0.019380854726812,0.0232616717679964,0.022336392933489,0.833166890157754,ISOTROPIC,-0.072183491630176,0.0226837308480084,0.0221720641434386,3.182170169177156,NEGATIVE,0.6703168866377489,0.5533766544869809,-7.7283117128027,-0.5001502313562887,0.2985937499999999,0.0663421636391936,0.0236228175451126,2.258006591573116,1.453985818019674,-0.019744441648842,-0.019380854726812,0.0003635869220299
NGC6205,R_0p1_to_Rh,19,14.173,90.393,0.1469300669496327,0.9370951486472976,-0.0018078854609785,0.0147401606403539,0.0144147422825772,0.122650322821386,ISOTROPIC,-0.0920786902831164,0.0147213376214664,0.0150084452919485,6.254777429249967,NEGATIVE,0.7108592648774203,0.9360530269487146,-36.17780171028956,-0.3741672580755935,0.2588473062355136,0.0321035996645481,0.0169528097779354,2.718827157549999,1.283107795776088,-0.002036586478297,-0.0018078854609784,0.0002287010173185
NGC6254,R_0p1_to_Rh,15,18.1139,96.1468,0.1489097709889873,0.7903984216167678,0.0522384780898779,0.0250677975139777,0.0246746494823626,2.08388782703187,TANGENTIAL,-0.0663192605263725,0.0264989618430732,0.0252154013993211,2.5027116503323823,NEGATIVE,0.3479147628394998,0.90304582507145,-3.55551540360851,-0.5362031342987503,0.2829734651404787,0.0436891794786048,0.0494468863269061,0.7019641356832947,0.0,0.051089269641367,0.0522384780898779,0.0011492084485109
NGC6388,R_0p1_to_Rh,13,6.4747,46.4154,0.1343404427199211,0.9630508571860048,-0.0258085490543313,0.0155764381769363,0.0152404709033416,1.6568967026457582,ISOTROPIC,-0.1686922246455492,0.0238323944768218,0.0226226875462493,7.078274271165262,NEGATIVE,0.8281568462460748,0.9451086249031484,-47.537017300378906,-0.0577202723246743,0.1987872267592545,0.0079844020493511,0.0151659395533368,0.2229747437472723,0.0,-0.0251384055942262,-0.0258085490543313,-0.000670143460105
NGC6441,R_0p1_to_Rh,5,7.0728,32.2578,0.2039766555635376,0.9303017418614248,-0.0215549353789153,0.0366054461090012,0.036490597802475,0.5888450400175571,ISOTROPIC,-0.035619040932107,0.0493628609961166,0.0495289719502822,0.7215756990849692,CONSISTENT_WITH_ZERO,0.3542406365006851,0.316384264455181,1.088766422924108,-0.2712337899398418,0.1166826841539941,0.0226884256501985,0.0488592658558797,0.7190135355294903,0.0,-0.0215200170262739,-0.0215549353789153,-3.4918352641410966e-05
