cluster,n,Rmin,Rmax,Rmin_Rh,Rmax_Rh,rh_pc,dist
NGC0104,28,8.0216,158.5868,0.04361831147974559,0.8623327564296549,4.03,4.52
NGC0362,19,7.1193,90.796,0.13790505404625447,1.7587722510898154,2.21,8.83
NGC1261,20,3.1141,99.6557,0.07618465416967343,2.4380190233251096,3.25,16.4
NGC1851,20,4.3529,89.8988,0.14410631261449383,2.97617325839506,1.75,11.95
NGC2808,24,3.475,101.5505,0.06917691081959654,2.02156831142027,2.45,10.06
NGC5904,19,3.7621,104.368,0.03875821152401038,1.0752284682326134,3.52,7.48
NGC5927,17,6.8315,106.5675,0.08807155250835115,1.3738659404133367,3.11,8.27
NGC5986,17,7.1035,87.9152,0.12781125947989103,1.5818332426869166,2.84,10.54
NGC6205,21,6.8744,100.1628,0.0712662140858361,1.0383776836141023,3.47,7.42
NGC6254,16,10.752,96.1468,0.08838946100362663,0.7903984216167678,2.99,5.07
NGC6388,31,6.4747,108.8635,0.1343404427199211,2.2587565116592474,2.61,11.17
NGC6441,27,7.0728,110.1411,0.2039766555635376,3.1764242192751313,2.14,12.73
NGC6541,21,3.7535,98.5503,0.060472796632389955,1.5877480351567919,2.29,7.61
NGC6624,18,3.7576,83.4855,0.08594298881649963,1.9094617289865552,1.7,8.02
NGC6637,22,3.7959,87.7647,0.06796137949680613,1.5713296143532074,2.41,8.9
NGC6681,14,2.8798,86.5454,0.060500488853335914,1.818195363569518,2.16,9.36
NGC6715,16,7.7625,74.9231,0.27626025369815665,2.666444394699177,3.58,26.28
NGC6723,11,10.1496,84.6906,0.11179632090693103,0.9328542499606421,3.64,8.27
NGC7078,21,3.8931,99.8755,0.0995780118812676,2.5546232374322626,2.03,10.71
NGC7099,13,4.7085,87.3989,0.07603152125801016,1.4112926246738247,2.54,8.46
